"","Survived","Pclass","Sex","Age","Family","Embarked"
"703","0","3","female",18,"Yes","C"
"704","0","3","male",25,"No","Q"
"705","0","3","male",26,"Yes","S"
"706","0","2","male",39,"No","S"
"707","1","2","female",45,"No","S"
"708","1","1","male",42,"No","S"
"709","1","1","female",22,"No","S"
"710","1","3","male",25.1406197183099,"Yes","C"
"711","1","1","female",24,"No","C"
"712","0","1","male",38.2334408602151,"No","S"
"713","1","1","male",48,"Yes","S"
"714","0","3","male",29,"No","S"
"715","0","2","male",52,"No","S"
"716","0","3","male",19,"No","S"
"717","1","1","female",38,"No","C"
"718","1","2","female",27,"No","S"
"719","0","3","male",25.1406197183099,"No","Q"
"720","0","3","male",33,"No","S"
"721","1","2","female",6,"Yes","S"
"722","0","3","male",17,"Yes","S"
"723","0","2","male",34,"No","S"
"724","0","2","male",50,"No","S"
"725","1","1","male",27,"Yes","S"
"726","0","3","male",20,"No","S"
"727","1","2","female",30,"Yes","S"
"728","1","3","female",25.1406197183099,"No","Q"
